scientificName,canonicalName,aus_native
Ipomoea polymorpha Roem. & Schult.,Ipomoea polymorpha,TRUE
Ipomoea purpurea (L.) Roth,Ipomoea purpurea,FALSE
Ipomoea quamoclit L.,Ipomoea quamoclit,FALSE
Ipomoea racemigera F.Muell. & Tate,Ipomoea racemigera,TRUE
Ipomoea saintronanensis R.W.Johnson,Ipomoea saintronanensis,TRUE
Ipomoea tiliacea (Willd.) Choisy,Ipomoea tiliacea,TRUE
Ipomoea tolmerana R.W.Johnson,Ipomoea tolmerana,TRUE
Ipomoea trichosperma Blume,Ipomoea trichosperma,TRUE
Ipomoea tricolor Cav.,Ipomoea tricolor,FALSE
Ipomoea triloba L.,Ipomoea triloba,FALSE
Ipomoea velutina R.Br.,Ipomoea velutina,TRUE
Ipomoea versipellis R.W.Johnson,Ipomoea versipellis,TRUE
Ipomoea wightii (Wall.) Choisy,Ipomoea wightii,FALSE
Ipomoea yardiensis A.S.George,Ipomoea yardiensis,TRUE
Jacquemontia browniana Ooststr.,Jacquemontia browniana,TRUE
Jacquemontia paniculata (Burm.f.) Hallier f.,Jacquemontia paniculata,TRUE
Jacquemontia pannosa (R.Br.) Mabb.,Jacquemontia pannosa,TRUE
Lepistemon urceolatus (R.Br.) F.Muell.,Lepistemon urceolatus,TRUE
Merremia aegyptia (L.) Urb.,Merremia aegyptia,FALSE
Merremia dissecta (Jacq.) Hallier f.,Merremia dissecta,FALSE
Merremia gemella (Burm.f.) Hallier f.,Merremia gemella,TRUE
Merremia hederacea (Burm.f.) Hallier f.,Merremia hederacea,TRUE
Merremia hirta (L.) Merr.,Merremia hirta,TRUE
Merremia incisa (R.Br.) Hallier f.,Merremia incisa,TRUE
Merremia kimberleyensis R.W.Johnson,Merremia kimberleyensis,TRUE
Merremia peltata (L.) Merr.,Merremia peltata,TRUE
Merremia quinata (R.Br.) Ooststr.,Merremia quinata,TRUE
Merremia quinquefolia (L.) Hallier f.,Merremia quinquefolia,FALSE
Merremia tuberosa (L.) Rendle,Merremia tuberosa,FALSE
Merremia umbellata (L.) Hallier f.,Merremia umbellata,TRUE
Operculina aequisepala (Domin) R.W.Johnson,Operculina aequisepala,TRUE
Operculina brownii Ooststr.,Operculina brownii,TRUE
Operculina riedeliana (Oliv.) Ooststr.,Operculina riedeliana,TRUE
Operculina turpethum (L.) Silva Manso,Operculina turpethum,TRUE
Polymeria ambigua R.Br.,Polymeria ambigua,TRUE
Polymeria angusta F.Muell.,Polymeria angusta,TRUE
Polymeria calycina R.Br.,Polymeria calycina,TRUE
Polymeria distigma Benth.,Polymeria distigma,TRUE
Polymeria lanata R.Br.,Polymeria lanata,TRUE
Polymeria longifolia Lindl.,Polymeria longifolia,TRUE
Polymeria marginata Benth.,Polymeria marginata,TRUE
Polymeria mollis (Benth.) Domin,Polymeria mollis,TRUE
Polymeria pusilla R.Br.,Polymeria pusilla,TRUE
Polymeria quadrivalvis R.Br.,Polymeria quadrivalvis,TRUE
Polymeria subhirsuta Domin,Polymeria subhirsuta,TRUE
Porana volubilis Burm.f.,Porana volubilis,FALSE
Stictocardia queenslandica (Domin) R.W.Johnson,Stictocardia queenslandica,TRUE
Stictocardia tiliifolia (Desr.) Hallier f.,Stictocardia tiliifolia,TRUE
Turbina corymbosa (L.) Raf.,Turbina corymbosa,FALSE
Wilsonia backhousei Hook.f.,Wilsonia backhousei,TRUE
Wilsonia humilis R.Br.,Wilsonia humilis,TRUE
Wilsonia rotundifolia Hook.,Wilsonia rotundifolia,TRUE
Xenostegia tridentata (L.) D.F.Austin & Staples,Xenostegia tridentata,TRUE
Hydrolea zeylanica (L.) Vahl,Hydrolea zeylanica,TRUE
Alkekengi officinarum Moench,Alkekengi officinarum,FALSE
Anthocercis angustifolia F.Muell.,Anthocercis angustifolia,TRUE
Anthocercis anisantha Endl.,Anthocercis anisantha,TRUE
Anthocercis fasciculata F.Muell.,Anthocercis fasciculata,TRUE
Anthocercis genistoides Miers,Anthocercis genistoides,TRUE
Anthocercis gracilis Benth.,Anthocercis gracilis,TRUE
Anthocercis ilicifolia Hook.,Anthocercis ilicifolia,TRUE
Anthocercis intricata F.Muell.,Anthocercis intricata,TRUE
Anthocercis littorea Labill.,Anthocercis littorea,TRUE
Anthocercis sylvicola T.D.Macfarl. & Ward.-Johnson,Anthocercis sylvicola,TRUE
Anthocercis viscosa R.Br.,Anthocercis viscosa,TRUE
Anthotroche myoporoides C.A.Gardner,Anthotroche myoporoides,TRUE
Anthotroche pannosa Endl.,Anthotroche pannosa,TRUE
Anthotroche walcottii F.Muell.,Anthotroche walcottii,TRUE
Browallia americana L.,Browallia americana,FALSE
Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl,Brugmansia suaveolens,FALSE
Brunfelsia australis Benth.,Brunfelsia australis,FALSE
Calibrachoa parviflora (Juss.) D'Arcy,Calibrachoa parviflora,FALSE
Capsicum annuum L.,Capsicum annuum,FALSE
Capsicum frutescens L.,Capsicum frutescens,FALSE
Cestrum aurantiacum Lindl.,Cestrum aurantiacum,FALSE
Cestrum elegans (Brongn. ex Neumann) Schltdl.,Cestrum elegans,FALSE
Cestrum fasciculatum (Schltdl.) Miers,Cestrum fasciculatum,FALSE
Cestrum nocturnum L.,Cestrum nocturnum,FALSE
Cestrum parqui L'Hér.,Cestrum parqui,FALSE
Crenidium spinescens Haegi,Crenidium spinescens,TRUE
Cyphanthera albicans (A.Cunn.) Miers,Cyphanthera albicans,TRUE
Cyphanthera anthocercidea (F.Muell.) Haegi,Cyphanthera anthocercidea,TRUE
Cyphanthera microphylla Miers,Cyphanthera microphylla,TRUE
Cyphanthera miersiana Haegi,Cyphanthera miersiana,TRUE
Cyphanthera myosotidea (F.Muell.) Haegi,Cyphanthera myosotidea,TRUE
Cyphanthera odgersii (F.Muell.) Haegi,Cyphanthera odgersii,TRUE
Cyphanthera racemosa (F.Muell.) Haegi,Cyphanthera racemosa,TRUE
Cyphanthera scabrella (Benth.) Miers,Cyphanthera scabrella,TRUE
Cyphanthera tasmanica Miers,Cyphanthera tasmanica,TRUE
Datura ferox L.,Datura ferox,FALSE
Datura innoxia Mill.,Datura innoxia,FALSE
Datura leichhardtii F.Muell. ex Benth.,Datura leichhardtii,FALSE
Datura metel L.,Datura metel,FALSE
Datura stramonium L.,Datura stramonium,FALSE
Datura wrightii Regel,Datura wrightii,FALSE
"Duboisia arenitensis Craven, Lepschi & Haegi",Duboisia arenitensis,TRUE
Duboisia hopwoodii (F.Muell.) F.Muell.,Duboisia hopwoodii,TRUE
Duboisia leichhardtii (F.Muell.) F.Muell.,Duboisia leichhardtii,TRUE
Duboisia myoporoides R.Br.,Duboisia myoporoides,TRUE
Grammosolen dixonii (F.Muell. & Tate) Haegi,Grammosolen dixonii,TRUE
Grammosolen truncatus (Ising) Haegi,Grammosolen truncatus,TRUE
Hyoscyamus albus L.,Hyoscyamus albus,FALSE
Hyoscyamus niger L.,Hyoscyamus niger,FALSE
Lycianthes biflora (Lour.) Bitter,Lycianthes biflora,TRUE
Lycianthes rantonnetii (Carrière) Bitter,Lycianthes rantonnetii,FALSE
Lycianthes shanesii (F.Muell.) A.R.Bean,Lycianthes shanesii,TRUE
Lycium afrum L.,Lycium afrum,FALSE
Lycium australe F.Muell.,Lycium australe,TRUE
Lycium barbarum L.,Lycium barbarum,FALSE
Lycium ferocissimum Miers,Lycium ferocissimum,FALSE
Nicandra physalodes (L.) Gaertn.,Nicandra physalodes,FALSE
Nicotiana amplexicaulis N.T.Burb.,Nicotiana amplexicaulis,TRUE
Nicotiana benthamiana Domin,Nicotiana benthamiana,TRUE
Nicotiana burbidgeae Symon,Nicotiana burbidgeae,TRUE
Nicotiana cavicola N.T.Burb.,Nicotiana cavicola,TRUE
Nicotiana excelsior (J.M.Black) J.M.Black,Nicotiana excelsior,TRUE
Nicotiana forsteri Roem. & Schult.,Nicotiana forsteri,TRUE
Nicotiana glauca Graham,Nicotiana glauca,FALSE
Nicotiana goodspeedii H.-M.Wheeler,Nicotiana goodspeedii,TRUE
Nicotiana gossei Domin,Nicotiana gossei,TRUE
Nicotiana heterantha Symon & Kenneally,Nicotiana heterantha,TRUE
Nicotiana maritima H.-M.Wheeler,Nicotiana maritima,TRUE
Nicotiana megalosiphon Van Heurck & Müll.Arg.,Nicotiana megalosiphon,TRUE
Nicotiana monoschizocarpa (P.Horton) Symon & Lepschi,Nicotiana monoschizocarpa,TRUE
Nicotiana occidentalis H.-M.Wheeler,Nicotiana occidentalis,TRUE
Nicotiana rosulata (S.Moore) Domin,Nicotiana rosulata,TRUE
Nicotiana rotundifolia Lindl.,Nicotiana rotundifolia,TRUE
Nicotiana simulans N.T.Burb.,Nicotiana simulans,TRUE
Nicotiana suaveolens Lehm.,Nicotiana suaveolens,TRUE
Nicotiana tabacum L.,Nicotiana tabacum,FALSE
Nicotiana truncata Symon,Nicotiana truncata,TRUE
Nicotiana umbratica N.T.Burb.,Nicotiana umbratica,TRUE
Nicotiana velutina H.-M.Wheeler,Nicotiana velutina,TRUE
Nicotiana wuttkei J.R.Clarkson & Symon,Nicotiana wuttkei,TRUE
Nierembergia hippomanica Miers,Nierembergia hippomanica,FALSE
"Petunia axillaris (Lam.) Britton, Sterns & Poggenb.",Petunia axillaris,FALSE
Physalis angulata L.,Physalis angulata,TRUE
Physalis cinerascens (Dunal) Hitchc.,Physalis cinerascens,FALSE
Physalis crassifolia Benth.,Physalis crassifolia,FALSE
Physalis hederifolia A.Gray,Physalis hederifolia,FALSE
Physalis ixocarpa Brot. ex Hornem.,Physalis ixocarpa,FALSE
Physalis lanceifolia Nees,Physalis lanceifolia,FALSE
Physalis longifolia Nutt.,Physalis longifolia,FALSE
Physalis micrantha Link,Physalis micrantha,FALSE
Physalis minima L.,Physalis minima,FALSE
Physalis peruviana L.,Physalis peruviana,FALSE
Physalis philadelphica Lam.,Physalis philadelphica,FALSE
Physalis pubescens L.,Physalis pubescens,FALSE
Salpichroa origanifolia (Lam.) Thell.,Salpichroa origanifolia,FALSE
Solandra maxima (Sesse & Moc.) P.S.Green,Solandra maxima,FALSE
Solanum abutiloides (Griseb.) Bitter & Lillo,Solanum abutiloides,FALSE
Solanum acanthodapis A.R.Bean,Solanum acanthodapis,TRUE
Solanum aculeastrum Dunal,Solanum aculeastrum,FALSE
Solanum adenophorum F.Muell.,Solanum adenophorum,TRUE
Solanum adoxum A.R.Bean,Solanum adoxum,TRUE
Solanum amblymerum Dunal,Solanum amblymerum,TRUE
Solanum ammophilum A.R.Bean,Solanum ammophilum,TRUE
Solanum angustum Domin,Solanum angustum,TRUE
Solanum apodophyllum A.R.Bean,Solanum apodophyllum,TRUE
Solanum argopetalum A.R.Bean,Solanum argopetalum,TRUE
Solanum aridicola A.R.Bean,Solanum aridicola,TRUE
Solanum armourense A.R.Bean,Solanum armourense,TRUE
Solanum ashbyae Symon,Solanum ashbyae,TRUE
Solanum asymmetriphyllum Specht,Solanum asymmetriphyllum,TRUE
Solanum austropiceum A.R.Bean,Solanum austropiceum,TRUE
Solanum aviculare G.Forst.,Solanum aviculare,TRUE
Solanum bauerianum Endl.,Solanum bauerianum,TRUE
Solanum beaugleholei Symon,Solanum beaugleholei,TRUE
Solanum betaceum Cav.,Solanum betaceum,FALSE
Solanum brownii Dunal,Solanum brownii,TRUE
Solanum callosum A.R.Bean,Solanum callosum,TRUE
Solanum campanulatum R.Br.,Solanum campanulatum,TRUE
Solanum capitaneum A.R.Bean,Solanum capitaneum,TRUE
Solanum capsiciforme (Domin) G.T.S.Baylis,Solanum capsiciforme,TRUE
Solanum capsicoides All.,Solanum capsicoides,FALSE
Solanum carduiforme F.Muell.,Solanum carduiforme,TRUE
Solanum cataphractum A.Cunn. ex Benth.,Solanum cataphractum,TRUE
Solanum celatum A.R.Bean,Solanum celatum,TRUE
Solanum centrale J.M.Black,Solanum centrale,TRUE
Solanum chenopodinum F.Muell.,Solanum chenopodinum,TRUE
Solanum chenopodioides Lam.,Solanum chenopodioides,FALSE
Solanum chillagoense (Domin) A.R.Bean,Solanum chillagoense,TRUE
Solanum chippendalei Symon,Solanum chippendalei,TRUE
Solanum chrysotrichum Schltdl.,Solanum chrysotrichum,FALSE
Solanum cinereum R.Br.,Solanum cinereum,TRUE
Solanum clarkiae Symon,Solanum clarkiae,TRUE
Solanum cleistogamum Symon,Solanum cleistogamum,TRUE
Solanum coactiliferum J.M.Black,Solanum coactiliferum,TRUE
Solanum cocosoides A.R.Bean,Solanum cocosoides,TRUE
Solanum cookii Symon,Solanum cookii,TRUE
Solanum coracinum Symon,Solanum coracinum,TRUE
Solanum corifolium F.Muell.,Solanum corifolium,TRUE
Solanum cowiei Martine,Solanum cowiei,TRUE
Solanum crassitomentosum Domin,Solanum crassitomentosum,TRUE
Solanum crebrispinum A.R.Bean,Solanum crebrispinum,TRUE
Solanum cunninghamii Benth.,Solanum cunninghamii,TRUE
Solanum curvicuspe Domin,Solanum curvicuspe,TRUE
Solanum defensum F.Muell.,Solanum defensum,TRUE
Solanum densevestitum F.Muell. ex Benth.,Solanum densevestitum,TRUE
Solanum dimidiatum Raf.,Solanum dimidiatum,FALSE
Solanum dimorphispinum C.T.White,Solanum dimorphispinum,TRUE
Solanum dioicum W.Fitzg.,Solanum dioicum,TRUE
Solanum discolor R.Br.,Solanum discolor,TRUE
Solanum dissectum Symon,Solanum dissectum,TRUE
Solanum ditrichum A.R.Bean,Solanum ditrichum,TRUE
Solanum diversiflorum F.Muell.,Solanum diversiflorum,TRUE
Solanum douglasii Dunal,Solanum douglasii,FALSE
Solanum dryanderense A.R.Bean,Solanum dryanderense,TRUE
Solanum dulcamara L.,Solanum dulcamara,FALSE
Solanum dumicola A.R.Bean,Solanum dumicola,TRUE
Solanum dunalianum Gaudich.,Solanum dunalianum,TRUE
Solanum dysprosium A.R.Bean,Solanum dysprosium,TRUE
Solanum eardleyae Symon,Solanum eardleyae,TRUE
Solanum eburneum Symon,Solanum eburneum,TRUE
Solanum echinatum R.Br.,Solanum echinatum,TRUE
Solanum elachophyllum F.Muell.,Solanum elachophyllum,TRUE
Solanum elaeagnifolium Cav.,Solanum elaeagnifolium,FALSE
Solanum elatius A.R.Bean,Solanum elatius,TRUE
Solanum ellipticum R.Br.,Solanum ellipticum,TRUE
Solanum eminens A.R.Bean,Solanum eminens,TRUE
Solanum emmottii A.R.Bean,Solanum emmottii,TRUE
Solanum eremophilum F.Muell.,Solanum eremophilum,TRUE
Solanum erianthum D.Don,Solanum erianthum,FALSE
Solanum esuriale Lindl.,Solanum esuriale,TRUE
Solanum fecundum A.R.Bean,Solanum fecundum,TRUE
Solanum ferocissimum Lindl.,Solanum ferocissimum,TRUE
Solanum ferox L.,Solanum ferox,TRUE
Solanum fervens A.R.Bean,Solanum fervens,TRUE
Solanum francisii A.R.Bean,Solanum francisii,TRUE
Solanum furcatum Dunal ex Poir.,Solanum furcatum,FALSE
Solanum furfuraceum R.Br.,Solanum furfuraceum,TRUE
Solanum gabrielae Domin,Solanum gabrielae,TRUE
Solanum galbinum A.R.Bean,Solanum galbinum,TRUE
Solanum giganteum Jacq.,Solanum giganteum,FALSE
Solanum gilesii Symon,Solanum gilesii,TRUE
Solanum graniticum A.R.Bean,Solanum graniticum,TRUE
Solanum gympiense Symon,Solanum gympiense,TRUE
Solanum hamulosum C.T.White,Solanum hamulosum,TRUE
Solanum hapalum A.R.Bean,Solanum hapalum,TRUE
Solanum hesperium Symon,Solanum hesperium,TRUE
Solanum heteropodium Symon,Solanum heteropodium,TRUE
Solanum hoplopetalum Bitter & Summerh.,Solanum hoplopetalum,FALSE
Solanum horridum Dunal ex Poir.,Solanum horridum,TRUE
Solanum hystrix R.Br.,Solanum hystrix,FALSE
Solanum inaequilaterum Domin,Solanum inaequilaterum,TRUE
Solanum incanum L.,Solanum incanum,FALSE
Solanum innoxium A.R.Bean,Solanum innoxium,TRUE
Solanum insanum L.,Solanum insanum,FALSE
Solanum intonsum A.R.Bean,Solanum intonsum,TRUE
Solanum iodinum A.R.Bean,Solanum iodinum,TRUE
Solanum johnsonianum A.R.Bean,Solanum johnsonianum,TRUE
Solanum jucundum A.R.Bean,Solanum jucundum,TRUE
Solanum karsense Symon,Solanum karsense,TRUE
Solanum kentrocaule A.R.Bean,Solanum kentrocaule,TRUE
Solanum lachnophyllum Symon,Solanum lachnophyllum,TRUE
Solanum laciniatum Aiton,Solanum laciniatum,TRUE
Solanum lacunarium F.Muell.,Solanum lacunarium,TRUE
Solanum lapidosum A.R.Bean,Solanum lapidosum,TRUE
Solanum lasiocarpum Dunal,Solanum lasiocarpum,TRUE
Solanum lasiophyllum Dunal ex Poir.,Solanum lasiophyllum,TRUE
Solanum latens A.R.Bean,Solanum latens,TRUE
Solanum laxum Spreng.,Solanum laxum,FALSE
Solanum leopoldense Symon,Solanum leopoldense,TRUE
Solanum limitare A.R.Bean,Solanum limitare,TRUE
Solanum linearifolium Geras. ex Symon,Solanum linearifolium,TRUE
Solanum linnaeanum Hepper & P.-M.L.Jaeger,Solanum linnaeanum,FALSE
Solanum lithophilum F.Muell.,Solanum lithophilum,TRUE
Solanum lobatum A.R.Bean,Solanum lobatum,TRUE
Solanum lucani F.Muell.,Solanum lucani,TRUE
Solanum lycopersicum L.,Solanum lycopersicum,FALSE
Solanum lythrocarpum A.R.Bean,Solanum lythrocarpum,TRUE
Solanum macoorai F.M.Bailey,Solanum macoorai,TRUE
Solanum magnifolium F.Muell.,Solanum magnifolium,TRUE
Solanum marginatum L.f.,Solanum marginatum,FALSE
Solanum mauritianum Scop.,Solanum mauritianum,FALSE
Solanum medicagineum A.R.Bean,Solanum medicagineum,TRUE
Solanum melanospermum F.Muell.,Solanum melanospermum,TRUE
Solanum melongena L.,Solanum melongena,FALSE
Solanum mentiens A.R.Bean,Solanum mentiens,TRUE
Solanum mitchellianum Domin,Solanum mitchellianum,TRUE
Solanum morrisonii Domin,Solanum morrisonii,TRUE
Solanum multiglochidiatum Domin,Solanum multiglochidiatum,TRUE
Solanum nemophilum F.Muell.,Solanum nemophilum,TRUE
Solanum neoanglicum A.R.Bean,Solanum neoanglicum,TRUE
Solanum nigrum L.,Solanum nigrum,FALSE
Solanum nobile A.R.Bean,Solanum nobile,TRUE
Solanum nodiflorum Jacq.,Solanum nodiflorum,TRUE
Solanum nummularium S.Moore,Solanum nummularium,TRUE
Solanum octonum A.R.Bean,Solanum octonum,TRUE
Solanum oedipus Symon,Solanum oedipus,TRUE
Solanum oldfieldii F.Muell.,Solanum oldfieldii,TRUE
Solanum oligacanthum F.Muell.,Solanum oligacanthum,TRUE
Solanum oligandrum Symon,Solanum oligandrum,TRUE
Solanum opacum A.Braun & C.D.Bouché,Solanum opacum,TRUE
Solanum orbiculatum Dunal ex Poir.,Solanum orbiculatum,TRUE
Solanum orgadophilum A.R.Bean,Solanum orgadophilum,TRUE
Solanum ossicruentum Martine & J.Cantley,Solanum ossicruentum,TRUE
Solanum osteocarpum A.R.Bean,Solanum osteocarpum,TRUE
Solanum pallidifolium A.R.Bean,Solanum pallidifolium,TRUE
Solanum papaverifolium Symon,Solanum papaverifolium,TRUE
Solanum parvifolium R.Br.,Solanum parvifolium,TRUE
Solanum petraeum Symon,Solanum petraeum,TRUE
Solanum petrophilum F.Muell.,Solanum petrophilum,TRUE
Solanum phlomoides A.Cunn. ex Benth.,Solanum phlomoides,TRUE
Solanum physalifolium Rusby,Solanum physalifolium,FALSE
Solanum piceum A.R.Bean,Solanum piceum,TRUE
Solanum pisinnum A.R.Bean,Solanum pisinnum,TRUE
Solanum plicatile (S.Moore) Symon,Solanum plicatile,TRUE
Solanum prinophyllum Dunal,Solanum prinophyllum,TRUE
Solanum prolatum A.R.Bean,Solanum prolatum,TRUE
Solanum pseudocapsicum L.,Solanum pseudocapsicum,FALSE
Solanum pseudolulo Heiser,Solanum pseudolulo,FALSE
Solanum pugiunculiferum C.T.White,Solanum pugiunculiferum,TRUE
Solanum pungetium R.Br.,Solanum pungetium,TRUE
Solanum pusillum A.R.Bean,Solanum pusillum,TRUE
Solanum pycnotrichum A.R.Bean,Solanum pycnotrichum,TRUE
Solanum pyracanthos Lam.,Solanum pyracanthos,FALSE
Solanum quadriloculatum F.Muell.,Solanum quadriloculatum,TRUE
Solanum radicans L.f.,Solanum radicans,FALSE
Solanum reclusum A.R.Bean,Solanum reclusum,TRUE
Solanum retroflexum Dunal,Solanum retroflexum,FALSE
Solanum rhaphiotes A.R.Bean,Solanum rhaphiotes,TRUE
Solanum rixosum A.R.Bean,Solanum rixosum,TRUE
Solanum rostratum Dunal,Solanum rostratum,FALSE
Solanum sarrachoides Sendtn.,Solanum sarrachoides,FALSE
Solanum seaforthianum Andrews,Solanum seaforthianum,FALSE
"Solanum sejunctum Brennan, Martine & Symon",Solanum sejunctum,TRUE
Solanum semiarmatum F.Muell.,Solanum semiarmatum,TRUE
Solanum senticosum A.R.Bean,Solanum senticosum,TRUE
Solanum serpens A.R.Bean,Solanum serpens,TRUE
Solanum shirleyanum Domin,Solanum shirleyanum,TRUE
Solanum silvestre A.R.Bean,Solanum silvestre,TRUE
Solanum simile F.Muell.,Solanum simile,TRUE
Solanum sisymbriifolium Lam.,Solanum sisymbriifolium,FALSE
Solanum spirale Roxb.,Solanum spirale,TRUE
Solanum sporadotrichum F.Muell.,Solanum sporadotrichum,TRUE
Solanum stelligerum Sm.,Solanum stelligerum,TRUE
Solanum stenopterum A.R.Bean,Solanum stenopterum,TRUE
Solanum stupefactum Symon,Solanum stupefactum,TRUE
Solanum sturtianum F.Muell.,Solanum sturtianum,TRUE
Solanum succosum A.R.Bean & Albr.,Solanum succosum,TRUE
Solanum symonii H.Eichler,Solanum symonii,TRUE
Solanum terraneum Symon,Solanum terraneum,TRUE
Solanum tetrandrum R.Br.,Solanum tetrandrum,TRUE
Solanum tetrathecum F.Muell.,Solanum tetrathecum,TRUE
Solanum torvum Sw.,Solanum torvum,FALSE
Solanum triflorum Nutt.,Solanum triflorum,FALSE
Solanum tuberosum L.,Solanum tuberosum,FALSE
Solanum tudununggae Symon,Solanum tudununggae,TRUE
Solanum tumulicola Symon,Solanum tumulicola,TRUE
Solanum ultimum A.R.Bean,Solanum ultimum,TRUE
Solanum ultraspinosum A.R.Bean,Solanum ultraspinosum,TRUE
Solanum unispinum A.R.Bean,Solanum unispinum,TRUE
Solanum vansittartense C.A.Gardner,Solanum vansittartense,TRUE
Solanum versicolor A.R.Bean,Solanum versicolor,TRUE
Solanum vescum F.Muell.,Solanum vescum,TRUE
Solanum vicinum A.R.Bean,Solanum vicinum,TRUE
Solanum villosum Mill.,Solanum villosum,FALSE
Solanum viridifolium Dunal,Solanum viridifolium,TRUE
Solanum watneyi Martine & Frawley,Solanum watneyi,TRUE
Solanum wilkinsii S.Moore,Solanum wilkinsii,TRUE
Solanum yirrkalense Symon,Solanum yirrkalense,TRUE
Solanum zoeae R.L.Barrett,Solanum zoeae,TRUE
Symonanthus aromaticus (C.A.Gardner) Haegi,Symonanthus aromaticus,TRUE
Symonanthus bancroftii (F.Muell.) Haegi,Symonanthus bancroftii,TRUE
Withania somnifera (L.) Dunal,Withania somnifera,FALSE
Sphenoclea zeylanica Gaertn.,Sphenoclea zeylanica,TRUE
Austrobaileya scandens C.T.White,Austrobaileya scandens,TRUE
Trimenia moorei (Oliv. ex Benth.) Philipson,Trimenia moorei,TRUE
Berberidopsis beckleri (F.Muell.) Veldkamp,Berberidopsis beckleri,TRUE
Streptothamnus moorei F.Muell.,Streptothamnus moorei,TRUE
Aptenia cordifolia (L.f.) Schwantes,Aptenia cordifolia,FALSE
Carpobrotus aequilaterus (Haw.) N.E.Br.,Carpobrotus aequilaterus,FALSE
Carpobrotus chilensis (Molina) N.E.Br.,Carpobrotus chilensis,FALSE
Carpobrotus edulis (L.) N.E.Br.,Carpobrotus edulis,FALSE
Carpobrotus glaucescens (Haw.) Schwantes,Carpobrotus glaucescens,TRUE
Carpobrotus modestus S.T.Blake,Carpobrotus modestus,TRUE
Carpobrotus rossii (Haw.) Schwantes,Carpobrotus rossii,TRUE
Carpobrotus virescens (Haw.) Schwantes,Carpobrotus virescens,TRUE
Cleretum bellidiforme (Burm.f.) G.D.Rowley,Cleretum bellidiforme,FALSE
Cleretum papulosum (L.f.) L.Bolus,Cleretum papulosum,FALSE
Conicosia pugioniformis (L.) N.E.Br.,Conicosia pugioniformis,FALSE
Delosperma vinaceum L.Bolus,Delosperma vinaceum,FALSE
Disphyma crassifolium (L.) L.Bolus,Disphyma crassifolium,TRUE
Drosanthemum candens (Haw.) Schwantes,Drosanthemum candens,FALSE
Galenia pubescens (Eckl. & Zeyh.) Druce,Galenia pubescens,FALSE
Galenia secunda (L.f.) Sond.,Galenia secunda,FALSE
Gunniopsis calcarea Chinnock,Gunniopsis calcarea,TRUE
Gunniopsis calva Chinnock,Gunniopsis calva,TRUE
Gunniopsis divisa Chinnock,Gunniopsis divisa,TRUE
Gunniopsis glabra (Luehm. ex Ewart) C.A.Gardner,Gunniopsis glabra,TRUE
Gunniopsis intermedia Diels,Gunniopsis intermedia,TRUE
Gunniopsis kochii (R.Wagner) Chinnock,Gunniopsis kochii,TRUE
Gunniopsis papillata Chinnock,Gunniopsis papillata,TRUE
Gunniopsis propinqua Chinnock,Gunniopsis propinqua,TRUE
Gunniopsis quadrifida (F.Muell.) Pax,Gunniopsis quadrifida,TRUE
Gunniopsis rodwayi (Ewart) C.A.Gardner,Gunniopsis rodwayi,TRUE
Gunniopsis rubra Chinnock,Gunniopsis rubra,TRUE
Gunniopsis septifraga (F.Muell.) Chinnock,Gunniopsis septifraga,TRUE
Gunniopsis tenuifolia Chinnock,Gunniopsis tenuifolia,TRUE
Gunniopsis zygophylloides (F.Muell.) Diels,Gunniopsis zygophylloides,TRUE
Lampranthus glaucus (L.) N.E.Br.,Lampranthus glaucus,FALSE
Lampranthus immelmaniae (L.Bolus) N.E.Br.,Lampranthus immelmaniae,FALSE
Lampranthus multiradiatus (Jacq.) N.E.Br.,Lampranthus multiradiatus,FALSE
Lampranthus tegens (F.Muell.) N.E.Br.,Lampranthus tegens,FALSE
Malephora crocea (Jacq.) Schwantes,Malephora crocea,FALSE
Mesembryanthemum aitonis Jacq.,Mesembryanthemum aitonis,FALSE
Mesembryanthemum crystallinum L.,Mesembryanthemum crystallinum,FALSE
Mesembryanthemum guerichianum Pax,Mesembryanthemum guerichianum,FALSE
Mesembryanthemum nodiflorum L.,Mesembryanthemum nodiflorum,FALSE
Psilocaulon granulicaule (Haw.) Schwantes,Psilocaulon granulicaule,FALSE
Ruschia geminiflora (Haw.) Schwantes,Ruschia geminiflora,FALSE
Sarcozona bicarinata S.T.Blake,Sarcozona bicarinata,TRUE
Sarcozona praecox (F.Muell.) S.T.Blake,Sarcozona praecox,TRUE
Sesuvium portulacastrum (L.) L.,Sesuvium portulacastrum,TRUE
Tetragonia coronata Rye & Trudgen,Tetragonia coronata,TRUE
Tetragonia cristata C.A.Gardner ex A.M.Prescott,Tetragonia cristata,TRUE
Tetragonia decumbens Mill.,Tetragonia decumbens,FALSE
Tetragonia diptera F.Muell.,Tetragonia diptera,TRUE
Tetragonia eremaea Ostenf.,Tetragonia eremaea,TRUE
Tetragonia fruticosa L.,Tetragonia fruticosa,FALSE
Tetragonia implexicoma (Miq.) Hook.f.,Tetragonia implexicoma,TRUE
Tetragonia microptera Fenzl,Tetragonia microptera,FALSE
Tetragonia moorei M.Gray,Tetragonia moorei,TRUE
Tetragonia nigrescens Eckl. & Zeyh.,Tetragonia nigrescens,FALSE
Tetragonia tetragonoides (Pall.) Kuntze,Tetragonia tetragonoides,TRUE
Trianthema compactum C.T.White,Trianthema compactum,TRUE
